"Number of fish-farming agricultural holdings and areas of fish-farming basins (01.08.2012-31.07.2013) by marzes, legal status and agricultural holdings and areas of fish-farming basins "

"marzes","Holdings without legal status Agricultural holdings, total (unit)","Holdings without legal status Basins (m2)","Holdings with legal status Agricultural holdings, total (unit)","Holdings with legal status Basins (m2)"
"Republic of Armenia, total",222,1039423,37,324481
"Aragatsotn",6,1797,-,-
"Ararat",71,800530,22,259767
"Armavir",23,163342,6,51350
"Gegharkunik",27,32457,2,2814
"Lori",17,17656,1,960
"Kotayk",20,5346,1,600
"Shirak",5,5733,1,2000
"Syunik",33,3939,2,2030
"Vayots dzor",8,3323,1,1360
"Tavush",9,5060,-,-
"Yerevan",3,240,1,3600
