"(C2-1)Freshwater abstraction by NACE and years"

"NACE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total",2438.3,2941.2,2955.1,2860.5,3271.7,3181.9,2865.4,2714.4,2865.4,2829.8,2966.6,3071.8,2917.6
"Section A (codes 01-03) Agriculture, forestry and fishing",1645.2,2108.5,2290.7,2143.0,2672.6,2542.5,2126.6,1882.0,2134.7,1989.9,2256.4,2380.1,2221.1
"Section A (code 01.61.1) Irrigation",1145.2,1496.3,1489.0,1446.6,1932.5,1873.2,1611.5,1389.4,1380.4,1305.6,1561.9,1612.7,1488.1
"Section A (code 03) Fishing",499.7,611.8,801.1,695.9,740.1,669.3,515.1,492.6,754.3,684.3,694.4,767.4,733.0
"Section B (codes 05-09)  Mining and quarrying",54.9,152.3,58.4,101.9,44.0,81.6,83.9,84.0,81.9,84.2,52.4,68.9,63.8
"Section C (codes 10-33)  Manufacturing",93.6,45.9,41.7,38.0,41.1,5.9,7.7,17.1,8.4,19.4,29.0,14.4,14.2
"SectionD (code 35)  Electricity, gas, steam and air conditioning supply",40.9,33.5,23.1,27.9,24.2,21.6,27.2,28.9,18.6,24.1,16.8,12.8,15.7
"Section E (codes 36-39)  Water supply; sewerage; waste managment and remediation activities",585.5,584.7,528.9,522.5,485.8,520.1,582.5,697.5,619.2,703.0,608.8,590.7,596.3
"Section E (code 36)  Water supply/water collection, treatment and supply/",584.3,584.6,517.0,522.1,475.8,519.8,579.2,584.1,614.8,653.5,601.3,541.5,570.1
"Section F (codes 41-43)  Construction",0.7,0.5,0.2,4.7,0.1,0.1,3.6,0.2,0.1,0.2,0.8,0.3,0.4
"Other economic activities",17.5,15.8,12.1,22.5,3.9,10.1,33.9,4.7,2.5,9.0,2.4,4.6,6.1
