"Water supply system of the Republic by indicators, marzes and years"

"indicators","marzes","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"The linear length of the main water pipe","Yerevan city",814.1,815.7,814.1,814.1,814.1,814.1,814.1,814.1,814.1,814.1,814.1,821.9,821.9,821.6,822.0
"The linear length of the main water pipe","Aragatsotn",325.3,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,350.1,350.1,350.1,350.1
"The linear length of the main water pipe","Ararat",441.1,496.0,496.0,498.2,498.2,498.2,498.2,498.2,498.2,498.2,498.2,501.9,501.9,501.9,501.0
"The linear length of the main water pipe","Armavir",445.5,453.4,453.4,453.4,459.6,463.8,463.8,463.8,463.8,463.8,463.8,471.9,471.9,471.9,341.0
"The linear length of the main water pipe","Gegharkunik",417.4,453.0,453.0,454.5,454.5,454.5,454.5,454.5,454.5,454.5,454.5,454.5,454.5,454.5,354.5
"The linear length of the main water pipe","Lori",715.5,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,756.5,756.5,756.5,618.5
"The linear length of the main water pipe","Kotayk",541.6,544.0,544.0,544.0,544.0,544.0,544.0,544.0,543.0,543.0,543.0,548.2,548.2,548.5,545.2
"The linear length of the main water pipe","Shirak",583.1,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0,588.0
"The linear length of the main water pipe","Syunik",615.8,616.0,616.0,546.4,546.4,546.4,546.4,550.2,561.3,561.4,561.4,558.3,561.3,561.4,592.4
"The linear length of the main water pipe","Vayots Dzor",110.8,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
"The linear length of the main water pipe","Tavush",464.8,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,483.1,483.1,483.1,483.1
"The linear length of the main water pipe","Total RA",5475.0,5648.1,5646.5,5580.6,5586.8,5591.0,5591.0,5594.8,5604.9,5605.0,5605.0,5649.4,5652.4,5652.5,5310.8
"The linear length of the street network, total","Yerevan city",917.5,919.2,895.6,896.9,897.4,897.4,897.7,897.7,897.7,897.7,897.7,892.5,887.5,905.1,905.1
"The linear length of the street network, total","Aragatsotn",425.5,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,526.0,524.1,529.0,528.7
"The linear length of the street network, total","Ararat",1027.4,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1300.8,1294.9,1312.5,1212.5
"The linear length of the street network, total","Armavir",833.5,909.6,909.6,911.4,837.5,856.8,856.8,856.8,857.0,857.0,857.0,865.1,862.6,876.5,876.5
