"Physical water use and supply matrix inside economy by years, indicators and NACE categories and types"

"years","indicators","A 01-03 Agriculture, hunting, forestry and fishing","A 01-agriculture","A 03-fishing","B 05-09. Mining and quarryingC 10-33.  ManufacturingF 41-43.  Construction","C 10-33. Manufacturing","D 35. Electricity, gas, steam and air conditioning supply","E 36-Water collection, processing and distribution","E 37-Sewage","Other economic activities","Economic activities, total (01-99)","Households","Supply of water to other economic units, total"
"2015","A 01-03 Agriculture, hunting, forestry and fishing",2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9
"2015","A 01-agriculture",2.9,2.9,-,-,-,-,-,-,-,2.9,-,2.9
"2015","A 03-fishing",0.0,-,-,-,-,-,-,-,-,0.0,-,0.0
"2015","B 05-09. Mining and quarryingC 10-33.  ManufacturingF 41-43.  Construction",0.0,-,-,-,-,-,-,3.1,-,3.1,-,3.1
"2015","C 10-33. Manufacturing",0.0,-,-,-,-,-,-,2.8,-,2.8,-,2.8
"2015","D 35. Electricity, gas, steam and air conditioning supply",180.0,-,180.0,-,-,-,-,17.6,-,197.6,-,197.6
"2015","E 36-Water collection, processing and distribution",1161.1,1158.6,2.5,42.0,13.1,0.1,-,-,0.3,1203.5,72.7,1276.2
"2015","E 37-Sewage",0.0,-,-,-,-,-,-,-,-,0.0,-,0.0
"2015","Other economic activities",0.0,-,-,-,-,-,-,2.4,-,2.4,7.4,9.8
"2015","Economic activities, total (01-99)",1344.0,1161.5,182.5,42.0,13.1,0.1,0.0,23.1,0.3,1409.5,80.1,1489.6
"2015","Households",0.0,-,-,-,-,-,-,76.5,-,76.5,-,76.5
"2015","Use of water received from other economic units, total",1344.0,1161.5,182.5,42.0,13.1,0.1,0.0,99.6,0.3,1486.0,80.1,1566.1
"2016","A 01-03 Agriculture, hunting, forestry and fishing",3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1
"2016","A 01-agriculture",3.1,3.1,-,-,-,-,-,-,-,3.1,-,3.1
"2016","A 03-fishing",0.0,-,-,-,-,-,-,-,-,0.0,-,0.0
"2016","B 05-09. Mining and quarryingC 10-33.  ManufacturingF 41-43.  Construction",0.0,-,-,-,-,-,-,7.1,-,7.1,-,7.1
"2016","C 10-33. Manufacturing",0.0,-,-,-,-,-,-,6.6,-,6.6,-,6.6
"2016","D 35. Electricity, gas, steam and air conditioning supply",6.7,-,6.7,-,-,-,-,0.3,-,7.0,-,7.0
"2016","E 36-Water collection, processing and distribution",1219.1,1036.7,182.4,40.3,4.9,71.4,-,-,2.9,1333.7,94.5,1428.2
"2016","E 37-Sewage",0.0,-,-,-,-,-,-,-,-,0.0,-,0.0
