"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Armenia",,"ALL","2024",1.35,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2023",5.01,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2022",11.05,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2021",22.66,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2020",6.23,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2019",6.42,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2018",2.05,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2017",2.51,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2016",0.62,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2015",5.43,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2014",4.46,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2013",0.93,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2012",6.47,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2011",8.0e-03,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2010",0.03,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2009",1.25,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2008",2.20,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2007",3.28,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2006",11.88,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2005",0.54,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2004",4.24,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2003",10.04,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2002",0.37,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2001",7.95,"VHI % below 35 "
"Cropland","Armenia",,"ALL","2000",0.07,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1999",1.86,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1998",0.34,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1997",9.97,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1996",5.50,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1995",0.59,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1994",0.00,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1993",0.00,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1992",6.78,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1991",13.21,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1990",54.18,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1989",78.86,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1988",0.23,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1987",30.63,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1986",4.10,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1985",31.64,"VHI % below 35 "
"Cropland","Armenia",,"ALL","1984",0.03,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2024",4.54,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2024",2.18,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2024",6.44,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2024",0.00,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2024",0.83,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2024",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2024",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2024",0.09,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2024",1.69,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2024",0.00,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2024",24.32,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2023",7.02,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2023",12.86,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2023",17.25,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2023",0.25,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2023",3.39,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2023",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2023",0.00,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2023",7.77,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2023",3.22,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2023",0.11,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2023",54.05,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2022",21.94,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2022",30.09,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2022",51.04,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2022",6.84,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2022",7.76,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2022",0.00,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2022",0.99,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2022",1.81,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2022",2.37,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2022",2.15,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2022",78.37,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2021",21.83,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2021",17.12,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2021",33.51,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2021",44.38,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2021",14.55,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2021",0.37,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2021",14.14,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2021",26.86,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2021",7.81,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2021",27.71,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2021",54.05,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2020",1.18,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2020",4.03,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2020",4.08,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2020",3.26,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2020",0.07,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2020",0.14,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2020",0.29,"VHI % below 35 "
"Cropland","Armenia",461,"Syunik","2020",19.41,"VHI % below 35 "
"Cropland","Armenia",462,"Tavush","2020",35.65,"VHI % below 35 "
"Cropland","Armenia",463,"Vayots Dzor","2020",2.03,"VHI % below 35 "
"Cropland","Armenia",464,"Yerevan","2020",5.40,"VHI % below 35 "
"Cropland","Armenia",453,"Aragatsotn","2019",1.29,"VHI % below 35 "
"Cropland","Armenia",454,"Ararat","2019",7.63,"VHI % below 35 "
"Cropland","Armenia",455,"Armavir","2019",14.44,"VHI % below 35 "
"Cropland","Armenia",456,"Gergharkunik","2019",10.01,"VHI % below 35 "
"Cropland","Armenia",457,"Kotayk","2019",1.58,"VHI % below 35 "
"Cropland","Armenia",458,"Lori","2019",0.59,"VHI % below 35 "
"Cropland","Armenia",460,"Shirak","2019",0.11,"VHI % below 35 "
