district_name,year,yearly_flag
Aragatsotn,2004,0
Aragatsotn,2005,0
Aragatsotn,2006,0
Aragatsotn,2007,0
Aragatsotn,2008,0
Aragatsotn,2009,0
Aragatsotn,2010,0
Aragatsotn,2011,0
Aragatsotn,2012,0
Aragatsotn,2013,0
Aragatsotn,2014,0
Aragatsotn,2015,0
Aragatsotn,2016,0
Aragatsotn,2017,0
Aragatsotn,2018,0
Aragatsotn,2019,0
Aragatsotn,2020,0
Aragatsotn,2021,0
Aragatsotn,2022,0
Aragatsotn,2023,0
Aragatsotn,2024,0
Ararat,2004,0
Ararat,2005,0
Ararat,2006,0
Ararat,2007,0
Ararat,2008,0
Ararat,2009,0
Ararat,2010,0
Ararat,2011,0
Ararat,2012,0
Ararat,2013,0
Ararat,2014,0
Ararat,2015,0
Ararat,2016,0
Ararat,2017,0
Ararat,2018,0
Ararat,2019,0
Ararat,2020,0
Ararat,2021,0
Ararat,2022,1
Ararat,2023,1
Ararat,2024,1
Armavir,2004,0
Armavir,2005,0
Armavir,2006,0
Armavir,2007,0
Armavir,2008,0
Armavir,2009,0
Armavir,2010,0
Armavir,2011,0
Armavir,2012,0
Armavir,2013,0
Armavir,2014,0
Armavir,2015,0
Armavir,2016,0
Armavir,2017,0
Armavir,2018,0
Armavir,2019,0
Armavir,2020,0
Armavir,2021,0
Armavir,2022,0
Armavir,2023,0
Armavir,2024,0
Gegharkunik,2004,0
Gegharkunik,2005,0
Gegharkunik,2006,0
Gegharkunik,2007,0
Gegharkunik,2008,0
Gegharkunik,2009,0
Gegharkunik,2010,0
Gegharkunik,2011,0
Gegharkunik,2012,0
Gegharkunik,2013,0
Gegharkunik,2014,0
Gegharkunik,2015,0
Gegharkunik,2016,0
Gegharkunik,2017,0
Gegharkunik,2018,0
Gegharkunik,2019,0
Gegharkunik,2020,0
Gegharkunik,2021,0
Gegharkunik,2022,0
Gegharkunik,2023,0
Gegharkunik,2024,0
Kotayk,2004,0
Kotayk,2005,0
Kotayk,2006,0
Kotayk,2007,0
Kotayk,2008,0
Kotayk,2009,0
Kotayk,2010,0
Kotayk,2011,0
Kotayk,2012,0
Kotayk,2013,0
Kotayk,2014,0
Kotayk,2015,0
Kotayk,2016,0
Kotayk,2017,0
Kotayk,2018,0
Kotayk,2019,0
Kotayk,2020,0
Kotayk,2021,0
Kotayk,2022,0
Kotayk,2023,0
Kotayk,2024,0
Lor,2004,0
Lor,2005,0
Lor,2006,0
Lor,2007,0
Lor,2008,0
Lor,2009,0
Lor,2010,0
Lor,2011,0
Lor,2012,0
Lor,2013,0
Lor,2014,0
Lor,2015,0
Lor,2016,0
Lor,2017,0
Lor,2018,0
Lor,2019,0
Lor,2020,0
Lor,2021,0
Lor,2022,0
Lor,2023,0
Lor,2024,0
Shirak,2004,0
Shirak,2005,0
Shirak,2006,0
Shirak,2007,0
Shirak,2008,0
Shirak,2009,0
Shirak,2010,0
Shirak,2011,0
Shirak,2012,0
Shirak,2013,0
Shirak,2014,0
Shirak,2015,0
Shirak,2016,0
Shirak,2017,0
Shirak,2018,0
Shirak,2019,0
Shirak,2020,0
Shirak,2021,0
Shirak,2022,0
Shirak,2023,0
Shirak,2024,0
Syunik,2004,0
Syunik,2005,0
Syunik,2006,0
Syunik,2007,0
Syunik,2008,0
Syunik,2009,0
Syunik,2010,0
Syunik,2011,0
Syunik,2012,0
Syunik,2013,0
Syunik,2014,0
Syunik,2015,0
Syunik,2016,0
Syunik,2017,0
Syunik,2018,0
Syunik,2019,0
Syunik,2020,0
Syunik,2021,1
Syunik,2022,1
Syunik,2023,1
Syunik,2024,1
Tavush,2004,0
Tavush,2005,0
Tavush,2006,0
Tavush,2007,0
Tavush,2008,0
Tavush,2009,0
Tavush,2010,0
Tavush,2011,0
Tavush,2012,0
Tavush,2013,0
Tavush,2014,0
Tavush,2015,0
Tavush,2016,0
Tavush,2017,0
Tavush,2018,0
Tavush,2019,0
Tavush,2020,0
Tavush,2021,0
Tavush,2022,0
Tavush,2023,0
Tavush,2024,0
Vayots dzor,2004,0
Vayots dzor,2005,0
Vayots dzor,2006,0
Vayots dzor,2007,0
Vayots dzor,2008,0
Vayots dzor,2009,0
Vayots dzor,2010,0
Vayots dzor,2011,0
Vayots dzor,2012,0
Vayots dzor,2013,0
Vayots dzor,2014,0
Vayots dzor,2015,0
Vayots dzor,2016,0
Vayots dzor,2017,0
Vayots dzor,2018,0
Vayots dzor,2019,0
Vayots dzor,2020,0
Vayots dzor,2021,0
Vayots dzor,2022,1
Vayots dzor,2023,1
Vayots dzor,2024,1
Yerevan,2004,0
Yerevan,2005,0
Yerevan,2006,0
Yerevan,2007,0
Yerevan,2008,0
Yerevan,2009,0
Yerevan,2010,0
Yerevan,2011,0
Yerevan,2012,0
Yerevan,2013,0
Yerevan,2014,0
Yerevan,2015,0
Yerevan,2016,0
Yerevan,2017,0
Yerevan,2018,0
Yerevan,2019,0
Yerevan,2020,0
Yerevan,2021,0
Yerevan,2022,0
Yerevan,2023,0
Yerevan,2024,0
