district,mean_spei,date
Tavush,-0.07405184605158865,2000-01-01
Lori,-0.15517402741198355,2000-01-01
Shirak,-0.40826450059047115,2000-01-01
Gegharkunik,-0.18534038939020214,2000-01-01
Vayots Dzor,-0.1348531488329172,2000-01-01
Syunik,0.09257856859384399,2000-01-01
Ararat,-0.6142864877527411,2000-01-01
Aragatsotn,-0.7209411735335985,2000-01-01
Armavir,-0.992664615313212,2000-01-01
Kotayk,-0.49378333538770675,2000-01-01
Erevan,-0.7885470390319824,2000-01-01
Tavush,0.2031960409755508,2000-01-11
Lori,0.019464906367759865,2000-01-11
Shirak,-0.10076912793402489,2000-01-11
Gegharkunik,-0.2180320694751572,2000-01-11
Vayots Dzor,-0.28227706952020526,2000-01-11
Syunik,0.11219833551072761,2000-01-11
Ararat,-0.7560972463000905,2000-01-11
Aragatsotn,-0.4951433216532071,2000-01-11
Armavir,-0.7321971754233042,2000-01-11
Kotayk,-0.4336000632494688,2000-01-11
Erevan,-0.8097752034664154,2000-01-11
Tavush,0.4555479995906353,2000-01-21
Lori,0.5449899664291968,2000-01-21
Shirak,0.43958040842643153,2000-01-21
Gegharkunik,-0.09150684141444371,2000-01-21
Vayots Dzor,-0.312364274635911,2000-01-21
Syunik,-0.23279422639231934,2000-01-21
Ararat,-0.6966665901921012,2000-01-21
Aragatsotn,-0.11029553196082513,2000-01-21
Armavir,-0.3512408485015233,2000-01-21
Kotayk,-0.1323424469679594,2000-01-21
Erevan,-0.6796975135803223,2000-01-21
Tavush,0.2479473895703753,2000-02-01
Lori,0.6859282163473276,2000-02-01
Shirak,0.6716804859729913,2000-02-01
Gegharkunik,-0.043915666420670116,2000-02-01
Vayots Dzor,-0.31697458773851395,2000-02-01
Syunik,-0.2583580546473202,2000-02-01
Ararat,-0.7974471788514744,2000-02-01
Aragatsotn,0.05743469732503096,2000-02-01
Armavir,-0.24884464591741562,2000-02-01
Kotayk,0.04575492963194847,2000-02-01
Erevan,-0.6534281969070435,2000-02-01
Tavush,0.08714088735481103,2000-02-11
Lori,0.43293509689661175,2000-02-11
Shirak,0.2243806433219176,2000-02-11
Gegharkunik,-0.041130227091557836,2000-02-11
Vayots Dzor,-0.39401237294077873,2000-02-11
Syunik,-0.1392201265124114,2000-02-11
Ararat,-0.9228160896084525,2000-02-11
Aragatsotn,-0.2058150718609492,2000-02-11
Armavir,-0.43019046634435654,2000-02-11
Kotayk,-0.15786679983139038,2000-02-11
Erevan,-0.8799008429050446,2000-02-11
Tavush,-0.32196417497470975,2000-02-21
Lori,0.267004322547179,2000-02-21
Shirak,0.30379119880784017,2000-02-21
Gegharkunik,-0.37125243279425535,2000-02-21
Vayots Dzor,-0.34961933037266135,2000-02-21
Syunik,-0.22278143009661058,2000-02-21
Ararat,-0.9525210884484377,2000-02-21
Aragatsotn,-0.16215856621662775,2000-02-21
Armavir,-0.2476593181490898,2000-02-21
Kotayk,-0.3303572438657284,2000-02-21
Erevan,-0.8754561543464661,2000-02-21
Tavush,0.13827486770848432,2000-03-01
Lori,0.6308564222775973,2000-03-01
Shirak,0.6398492326530126,2000-03-01
Gegharkunik,-0.04172548125771915,2000-03-01
Vayots Dzor,-0.24554825760424137,2000-03-01
Syunik,-0.010810988002432216,2000-03-01
Ararat,-0.6400368091734973,2000-03-01
Aragatsotn,0.22744926251471043,2000-03-01
Armavir,0.1588363479822874,2000-03-01
Kotayk,0.05829327031970024,2000-03-01
Erevan,-0.44109123945236206,2000-03-01
Tavush,-0.21962564252316952,2000-03-11
Lori,0.27146685925813824,2000-03-11
Shirak,0.39593497147926915,2000-03-11
Gegharkunik,-0.34109924032407646,2000-03-11
Vayots Dzor,-0.5726428143680096,2000-03-11
Syunik,-0.31376988950528595,2000-03-11
Ararat,-1.0594117424704812,2000-03-11
Aragatsotn,-0.09207448363304138,2000-03-11
Armavir,-0.14665435999631882,2000-03-11
Kotayk,-0.31243577748537066,2000-03-11
Erevan,-0.8476513624191284,2000-03-11
Tavush,0.28843636189897853,2000-03-21
Lori,0.39247516499688995,2000-03-21
Shirak,0.27804098177987796,2000-03-21
Gegharkunik,0.16876190506360111,2000-03-21
Vayots Dzor,-0.07969582639634609,2000-03-21
Syunik,0.2891807246365045,2000-03-21
Ararat,-0.740582057020881,2000-03-21
Aragatsotn,-0.027971763008584578,2000-03-21
Armavir,0.047766501704851784,2000-03-21
Kotayk,-0.14805674627423288,2000-03-21
Erevan,-0.6584243476390839,2000-03-21
Tavush,-0.5230967067182064,2000-04-01
Lori,-0.19465608085290745,2000-04-01
Shirak,-0.19704201273047006,2000-04-01
Gegharkunik,-0.48016635547665987,2000-04-01
Vayots Dzor,-0.8518997691571712,2000-04-01
Syunik,-0.4027950677432512,2000-04-01
Ararat,-1.2648801315914502,2000-04-01
Aragatsotn,-0.7001163718911508,2000-04-01
Armavir,-0.6439607233429948,2000-04-01
Kotayk,-0.811638206243515,2000-04-01
Erevan,-1.3160365223884583,2000-04-01
Tavush,-1.2963349719842274,2000-04-11
Lori,-1.049241955463703,2000-04-11
Shirak,-1.1546824895418608,2000-04-11
Gegharkunik,-1.0889430291512434,2000-04-11
Vayots Dzor,-1.3038375154137611,2000-04-11
Syunik,-1.1628361407079195,2000-04-11
Ararat,-1.506883144378662,2000-04-11
Aragatsotn,-1.411836415529251,2000-04-11
Armavir,-1.3349925478299458,2000-04-11
Kotayk,-1.4437735199928283,2000-04-11
Erevan,-1.7569403648376465,2000-04-11
Tavush,-1.2355581720670064,2000-04-21
Lori,-1.1408421718157256,2000-04-21
Shirak,-1.2408701823307917,2000-04-21
Gegharkunik,-1.2410810204113232,2000-04-21
Vayots Dzor,-1.3799280524253845,2000-04-21
Syunik,-1.2869716380771838,2000-04-21
Ararat,-1.3252246379852295,2000-04-21
Aragatsotn,-1.3722551663716633,2000-04-21
Armavir,-1.2875252564748128,2000-04-21
Kotayk,-1.4123700499534606,2000-04-21
Erevan,-1.4530203938484192,2000-04-21
Tavush,-1.0710847824811935,2000-05-01
Lori,-1.0421991852613597,2000-05-01
Shirak,-1.1964257313654973,2000-05-01
Gegharkunik,-1.0412528620046728,2000-05-01
Vayots Dzor,-1.3482780307531357,2000-05-01
Syunik,-1.0924729532317112,2000-05-01
Ararat,-1.226244173266671,2000-05-01
Aragatsotn,-1.2691067457199097,2000-05-01
Armavir,-1.1774364908536274,2000-05-01
Kotayk,-1.3008942484855652,2000-05-01
Erevan,-1.349629521369934,2000-05-01
Tavush,-1.0147202759981155,2000-05-11
Lori,-1.2454151557042048,2000-05-11
Shirak,-1.5621004104614258,2000-05-11
Gegharkunik,-0.5818781557985965,2000-05-11
Vayots Dzor,-0.9122665841132402,2000-05-11
Syunik,-0.4438767170435504,2000-05-11
Ararat,-1.0793285085396334,2000-05-11
Aragatsotn,-1.3858620176712673,2000-05-11
Armavir,-1.2539794544378917,2000-05-11
Kotayk,-1.298387610912323,2000-05-11
Erevan,-1.3453396558761597,2000-05-11
Tavush,-1.0926898916562398,2000-05-21
Lori,-1.116276135811439,2000-05-21
Shirak,-1.4919477609487681,2000-05-21
Gegharkunik,-0.5320490896701813,2000-05-21
Vayots Dzor,-0.9944940358400345,2000-05-21
Syunik,-0.3591740443126151,2000-05-21
Ararat,-1.1811745810237797,2000-05-21
Aragatsotn,-1.4052201757828395,2000-05-21
Armavir,-1.34696959455808,2000-05-21
Kotayk,-1.3444674491882325,2000-05-21
Erevan,-1.520751178264618,2000-05-21
Tavush,-1.459371656179428,2000-06-01
Lori,-1.2764132206256573,2000-06-01
Shirak,-1.5584195485481849,2000-06-01
Gegharkunik,-0.8251254683470025,2000-06-01
Vayots Dzor,-1.0524091720581055,2000-06-01
Syunik,-0.5811478950475392,2000-06-01
Ararat,-1.3602702184156938,2000-06-01
Aragatsotn,-1.4630777140458424,2000-06-01
Armavir,-1.4825720191001892,2000-06-01
Kotayk,-1.39559805393219,2000-06-01
Erevan,-1.6237292289733887,2000-06-01
Tavush,-1.4089493453502655,2000-06-11
Lori,-1.369482498902541,2000-06-11
Shirak,-1.6801657126500056,2000-06-11
Gegharkunik,-0.8764549391892027,2000-06-11
Vayots Dzor,-0.828872874379158,2000-06-11
Syunik,-0.36842180950273024,2000-06-11
Ararat,-1.2440614754503423,2000-06-11
Aragatsotn,-1.5414638717969258,2000-06-11
Armavir,-1.4651713172594707,2000-06-11
Kotayk,-1.4658764004707336,2000-06-11
Erevan,-1.5117489695549011,2000-06-11
Tavush,-2.1256840229034424,2000-06-21
Lori,-1.8109916540292592,2000-06-21
Shirak,-1.9634942274827223,2000-06-21
Gegharkunik,-1.545602126594852,2000-06-21
Vayots Dzor,-1.3525062873959541,2000-06-21
Syunik,-0.885977632121036,2000-06-21
Ararat,-1.6627318967472424,2000-06-21
Aragatsotn,-1.8586895267168682,2000-06-21
Armavir,-1.7092522382736206,2000-06-21
Kotayk,-1.9395928144454957,2000-06-21
Erevan,-1.8879966139793396,2000-06-21
Tavush,-2.2474975188573203,2000-07-01
Lori,-2.007346987724304,2000-07-01
Shirak,-1.9908973437089186,2000-07-01
Gegharkunik,-1.6850257463314955,2000-07-01
Vayots Dzor,-1.3427101224660873,2000-07-01
Syunik,-0.814535561360811,2000-07-01
Ararat,-1.7414276816628196,2000-07-01
Aragatsotn,-1.9435122509797413,2000-07-01
Armavir,-1.754001518090566,2000-07-01
Kotayk,-2.100849783420563,2000-07-01
Erevan,-1.9548500180244446,2000-07-01
Tavush,-2.059006025393804,2000-07-11
Lori,-1.9996677270302405,2000-07-11
Shirak,-1.9694011486493623,2000-07-11
Gegharkunik,-1.6358840886284323,2000-07-11
Vayots Dzor,-1.191501259803772,2000-07-11
Syunik,-0.5801066636279422,2000-07-11
Ararat,-1.6851385073228315,2000-07-11
Aragatsotn,-1.942863126595815,2000-07-11
Armavir,-1.7968352635701497,2000-07-11
Kotayk,-2.055483901500702,2000-07-11
Erevan,-1.9394749999046326,2000-07-11
Tavush,-2.0836002230644226,2000-07-21
Lori,-2.0959857610555797,2000-07-21
Shirak,-2.1420579873598538,2000-07-21
Gegharkunik,-1.7347658486927258,2000-07-21
Vayots Dzor,-1.3027034625411034,2000-07-21
Syunik,-0.8190145680778905,2000-07-21
Ararat,-1.8432048125700518,2000-07-21
Aragatsotn,-1.9852101306120555,2000-07-21
Armavir,-1.9009208877881367,2000-07-21
Kotayk,-2.1173842787742614,2000-07-21
Erevan,-2.0352641940116882,2000-07-21
Tavush,-1.8293083508809407,2000-08-01
Lori,-1.841651806464562,2000-08-01
Shirak,-1.8797653913497925,2000-08-01
Gegharkunik,-1.5319826567874235,2000-08-01
Vayots Dzor,-1.1117732226848602,2000-08-01
Syunik,-0.8614301148213839,2000-08-01
Ararat,-1.5142130960117688,2000-08-01
Aragatsotn,-1.7633740206559498,2000-08-01
Armavir,-1.7124584118525188,2000-08-01
Kotayk,-1.7502877473831178,2000-08-01
Erevan,-1.6381171345710754,2000-08-01
Tavush,-1.7875748376051586,2000-08-11
Lori,-1.7927466997733483,2000-08-11
Shirak,-1.8210625190001268,2000-08-11
Gegharkunik,-1.7487066493314856,2000-08-11
Vayots Dzor,-1.4485035240650177,2000-08-11
Syunik,-1.232714085202468,2000-08-11
Ararat,-1.7331446517597546,2000-08-11
Aragatsotn,-1.8098661800225575,2000-08-11
Armavir,-1.766206165154775,2000-08-11
Kotayk,-1.8824408054351807,2000-08-11
Erevan,-1.7828867435455322,2000-08-11
Tavush,-1.9646677374839783,2000-08-21
Lori,-1.9866524292872503,2000-08-21
Shirak,-1.9648203482994666,2000-08-21
Gegharkunik,-1.9422525868696325,2000-08-21
Vayots Dzor,-1.5750576257705688,2000-08-21
Syunik,-1.4750973174446507,2000-08-21
Ararat,-1.7807019515471025,2000-08-21
Aragatsotn,-1.968516896168391,2000-08-21
Armavir,-1.8854047854741414,2000-08-21
Kotayk,-2.038294804096222,2000-08-21
Erevan,-1.8331191539764404,2000-08-21
Tavush,-2.212934116522471,2000-09-01
Lori,-2.1540938799197855,2000-09-01
Shirak,-2.114171789242671,2000-09-01
Gegharkunik,-1.9326371655744665,2000-09-01
Vayots Dzor,-1.3486734330654144,2000-09-01
Syunik,-1.2206246068603115,2000-09-01
Ararat,-1.8017176172950051,2000-09-01
Aragatsotn,-2.153902977705002,2000-09-01
Armavir,-2.046912650267283,2000-09-01
Kotayk,-2.1797341823577883,2000-09-01
Erevan,-1.978067398071289,2000-09-01
Tavush,-1.931502987941106,2000-09-11
Lori,-1.9611068230408888,2000-09-11
Shirak,-1.9525826435822706,2000-09-11
Gegharkunik,-1.766957865041845,2000-09-11
Vayots Dzor,-1.3657963126897812,2000-09-11
Syunik,-1.3570582396105717,2000-09-11
Ararat,-1.7197926911440762,2000-09-11
Aragatsotn,-1.9992863237857819,2000-09-11
Armavir,-1.9182121952374775,2000-09-11
Kotayk,-1.9709360003471375,2000-09-11
Erevan,-1.871519923210144,2000-09-11
Tavush,-1.4340428213278453,2000-09-21
Lori,-1.574478635421166,2000-09-21
Shirak,-1.6266076473089366,2000-09-21
Gegharkunik,-1.3971634717548596,2000-09-21
Vayots Dzor,-0.9787918105721474,2000-09-21
Syunik,-0.9024234696438438,2000-09-21
Ararat,-1.4015932895920493,2000-09-21
Aragatsotn,-1.6943232913812,2000-09-21
Armavir,-1.7395373781522114,2000-09-21
Kotayk,-1.602658498287201,2000-09-21
Erevan,-1.7050970196723938,2000-09-21
Tavush,-1.2504191100597382,2000-10-01
Lori,-1.5997248612917387,2000-10-01
Shirak,-1.6382818955641527,2000-10-01
Gegharkunik,-1.3438720808309668,2000-10-01
Vayots Dzor,-0.944753609597683,2000-10-01
Syunik,-1.0325522799240916,2000-10-01
Ararat,-1.4497568715702405,2000-10-01
Aragatsotn,-1.7215830584367116,2000-10-01
Armavir,-1.7794980804125469,2000-10-01
Kotayk,-1.5762328863143922,2000-10-01
Erevan,-1.779833436012268,2000-10-01
Tavush,-0.608995554347833,2000-10-11
Lori,-1.1326183401621306,2000-10-11
Shirak,-1.2512994775405297,2000-10-11
Gegharkunik,-0.8868116000119377,2000-10-11
Vayots Dzor,-0.7202852293848991,2000-10-11
Syunik,-0.5323730050341079,2000-10-11
Ararat,-1.21487018736926,2000-10-11
Aragatsotn,-1.5682120223840077,2000-10-11
Armavir,-1.681805948416392,2000-10-11
Kotayk,-1.3717036813497543,2000-10-11
Erevan,-1.730413794517517,2000-10-11
Tavush,0.3755950856745282,2000-10-21
Lori,-0.23113430893191925,2000-10-21
Shirak,-0.4648553803563118,2000-10-21
Gegharkunik,0.4920039702864254,2000-10-21
Vayots Dzor,0.6887562125921249,2000-10-21
Syunik,0.6892311353432504,2000-10-21
Ararat,-0.099363062530756,2000-10-21
Aragatsotn,-0.5165644387404124,2000-10-21
Armavir,-0.6529996196428934,2000-10-21
Kotayk,-0.09921211302280426,2000-10-21
Erevan,-0.45515076816082,2000-10-21
