district,year,consec_drought,total_droughts,share,avg_spei3
Aragatsotn,2000,1,1,0.5555555555555556,-1.1172790577962854
Aragatsotn,2001,0,0,0.3333333333333333,-0.7542759321147093
Aragatsotn,2002,0,0,0.027777777777777776,0.8080118386499602
Aragatsotn,2003,0,0,0.0,0.5232614431666595
Aragatsotn,2004,0,0,0.027777777777777776,0.2631800152152277
Aragatsotn,2005,0,0,0.027777777777777776,0.7190554995566143
Aragatsotn,2006,0,0,0.16666666666666666,0.032968953443169406
Aragatsotn,2007,0,0,0.027777777777777776,0.6177074105486368
Aragatsotn,2008,1,0,0.3055555555555556,-0.4508939114016862
Aragatsotn,2009,0,0,0.05555555555555555,0.8131388515272797
Aragatsotn,2010,0,0,0.08333333333333333,0.5528648520681869
Aragatsotn,2011,0,0,0.1388888888888889,0.3073785503915537
Aragatsotn,2012,0,0,0.2222222222222222,-0.3785134042091495
Aragatsotn,2013,0,0,0.0,-0.05252990163311913
Aragatsotn,2014,0,0,0.1388888888888889,-0.49965958184933423
Aragatsotn,2015,0,0,0.1111111111111111,0.2768853191338605
Aragatsotn,2016,0,0,0.05555555555555555,0.3996335684224269
Aragatsotn,2017,1,1,0.5,-0.8249235624206012
Aragatsotn,2018,0,0,0.08333333333333333,-0.05321667938174128
Aragatsotn,2019,1,1,0.4444444444444444,-0.4738560503033956
Aragatsotn,2020,0,0,0.2777777777777778,-0.3924397059028572
Aragatsotn,2021,1,0,0.3333333333333333,-0.6955136495849326
Aragatsotn,2022,1,1,0.4722222222222222,-0.8485952949510343
Aragatsotn,2023,0,0,0.25,-0.41016318665680473
Aragatsotn,2024,0,0,0.027777777777777776,0.3465282385985591
Aragatsotn,2025,1,1,0.6333333333333333,-1.0794790474138507
Ararat,2000,1,1,0.6111111111111112,-1.1653418716777004
Ararat,2001,0,0,0.25,-0.7235081064364298
Ararat,2002,0,0,0.027777777777777776,0.7586675546687058
Ararat,2003,0,0,0.0,0.7401697434522587
Ararat,2004,0,0,0.08333333333333333,0.12605330618445273
Ararat,2005,0,0,0.0,0.38428885696185083
Ararat,2006,0,0,0.1388888888888889,0.17373613063528234
Ararat,2007,0,0,0.08333333333333333,0.41942291732788123
Ararat,2008,1,1,0.4166666666666667,-0.658523305634541
Ararat,2009,0,0,0.05555555555555555,0.9231909962577952
Ararat,2010,0,0,0.16666666666666666,0.45483140967230096
Ararat,2011,0,0,0.1111111111111111,0.21620746029333937
Ararat,2012,0,0,0.16666666666666666,-0.16936632078505506
Ararat,2013,0,0,0.1111111111111111,-0.04993753120240832
Ararat,2014,0,0,0.19444444444444445,-0.4757673268505099
Ararat,2015,0,0,0.05555555555555555,0.26396786241887393
Ararat,2016,0,0,0.027777777777777776,0.40101502101951886
Ararat,2017,1,0,0.3888888888888889,-0.8135251371067068
Ararat,2018,0,0,0.027777777777777776,-0.09438631288099307
Ararat,2019,1,1,0.4444444444444444,-0.3364773159329262
Ararat,2020,0,0,0.19444444444444445,-0.10685940093720668
Ararat,2021,1,1,0.4166666666666667,-0.9572952147784898
Ararat,2022,1,1,0.6111111111111112,-1.3117185786658678
Ararat,2023,0,0,0.2222222222222222,-0.5552845345292653
Ararat,2024,0,0,0.0,0.23688367829802726
Ararat,2025,1,1,0.7333333333333333,-1.3487710234793748
Armavir,2000,1,1,0.5833333333333334,-1.1396997056608262
Armavir,2001,0,0,0.3888888888888889,-0.82638883143146
Armavir,2002,0,0,0.0,0.7169733713812161
Armavir,2003,0,0,0.0,0.6445527755357844
Armavir,2004,0,0,0.0,0.4500746627767243
Armavir,2005,0,0,0.0,0.7231831284839078
Armavir,2006,0,0,0.1111111111111111,0.014410059643624788
Armavir,2007,0,0,0.027777777777777776,0.560731045474919
Armavir,2008,0,0,0.3055555555555556,-0.5630838865097892
Armavir,2009,0,0,0.05555555555555555,0.8206084944238817
Armavir,2010,0,0,0.05555555555555555,0.5740542755013816
Armavir,2011,0,0,0.1388888888888889,0.295765048805926
Armavir,2012,0,0,0.3333333333333333,-0.5543914488947917
Armavir,2013,0,0,0.1111111111111111,-0.14703352009248058
Armavir,2014,0,0,0.3055555555555556,-0.5706892535112007
Armavir,2015,0,0,0.027777777777777776,0.3395682048829729
Armavir,2016,0,0,0.08333333333333333,0.19504045625163363
Armavir,2017,1,1,0.5,-0.8623829355670346
Armavir,2018,0,0,0.1388888888888889,-0.3502427238207828
Armavir,2019,0,1,0.4166666666666667,-0.41173786071077406
